efector;fechaGasto;periodo;numero_comprobante_gasto;codigogasto;efector_sesion;monto;concepto
G07652;2014-11-07;2014-11;;2.3;;300.00;
G07652;2014-11-07;2014-11;;2.3;;300.00;
G07652;2014-11-07;2014-11;;2.3;;162.50;
G07652;2014-11-11;2014-11;;2.3;;300.00;
G07652;2014-11-11;2014-11;;5.1;;1200.00;
G10309;2014-11-07;2014-11;;2.3;;162.50;
G98911;2014-11-07;2014-11;;2.1;;3000.00;
G98911;2014-11-07;2014-11;;2.1;;1000.00;
G98911;2014-11-07;2014-11;;2.3;;4000.00;
G98911;2014-11-07;2014-11;;2.3;;1400.00;
G98911;2014-11-07;2014-11;;2.3;;162.50;
G98911;2014-11-07;2014-11;;3.2;;600.00;
G09995;2014-11-07;2014-11;;2.1;;2000.00;
G09995;2014-11-17;2014-11;;2.1;;2000.00;
G09995;2014-11-07;2014-11;;2.3;;162.50;
G09995;2014-11-19;2014-11;;4.3;;2500.00;
G12028;2014-11-07;2014-11;;2.1;;2000.00;
G12028;2014-11-07;2014-11;;2.3;;1000.00;
G12028;2014-11-07;2014-11;;2.3;;500.00;
G12028;2014-11-07;2014-11;;2.3;;500.00;
G12028;2014-11-07;2014-11;;2.3;;500.00;
G12028;2014-11-07;2014-11;;2.3;;162.50;
G12028;2014-11-11;2014-11;;5.1;;3200.00;
G12028;2014-11-07;2014-11;;3.2;;500.00;
G07110;2014-11-03;2014-11;;2.1;;5600.00;
G07110;2014-11-04;2014-11;;2.1;;3000.00;
G07110;2014-11-05;2014-11;;2.3;;2500.00;
G07110;2014-11-03;2014-11;;2.3;;2500.00;
G07110;2014-11-05;2014-11;;2.3;;2500.00;
G07110;2014-11-05;2014-11;;2.3;;2500.00;
G07110;2014-11-03;2014-11;;3.2;;519.72;
G07110;2014-11-25;2014-11;;3.2;;800.00;
G07110;2014-11-11;2014-11;;3.2;;145.20;
G07110;2014-11-04;2014-11;;4.1;;1287.61;
G07095;2014-11-26;2014-11;;2.1;;1400.00;
G07095;2014-11-26;2014-11;;2.3;;2063.00;
G07095;2014-11-11;2014-11;;4.1;;1474.75;
G07089;2014-11-01;2014-11;;2.3;;1700.00;
G07088;2014-11-07;2014-11;;2.1;;1200.00;
G07088;2014-11-21;2014-11;;2.1;;2000.00;
G07088;2014-11-21;2014-11;;2.1;;2000.00;
G07088;2014-11-28;2014-11;;2.1;;1000.00;
G07088;2014-11-28;2014-11;;2.1;;1200.00;
G07088;2014-11-25;2014-11;;2.2;;2300.00;
G07088;2014-11-28;2014-11;;2.2;;1000.00;
G07088;2014-11-28;2014-11;;2.2;;2500.00;
G07088;2014-11-28;2014-11;;2.2;;2500.00;
G07088;2014-11-03;2014-11;;2.2;;2500.00;
G07088;2014-11-25;2014-11;;2.2;;1000.00;
G07088;2014-11-25;2014-11;;2.3;;1000.00;
G07088;2014-11-28;2014-11;;2.3;;1465.00;
G07088;2014-11-28;2014-11;;2.3;;2300.00;
G07088;2014-11-28;2014-11;;2.3;;1300.00;
G07088;2014-11-28;2014-11;;2.3;;500.00;
G07088;2014-11-28;2014-11;;2.3;;500.00;
G07088;2014-11-28;2014-11;;2.3;;2500.00;
G07088;2014-11-28;2014-11;;2.3;;2500.00;
G07088;2014-11-28;2014-11;;2.3;;2500.00;
G07088;2014-11-28;2014-11;;2.3;;2500.00;
G07088;2014-11-28;2014-11;;2.3;;1000.00;
G07088;2014-11-28;2014-11;;2.3;;700.00;
G07088;2014-11-28;2014-11;;2.3;;1400.00;
G07088;2014-11-28;2014-11;;2.3;;500.00;
G07088;2014-11-28;2014-11;;2.3;;2250.00;
G07088;2014-11-07;2014-11;;3.2;;576.00;
G07088;2014-11-12;2014-11;;3.2;;390.00;
G07088;2014-11-25;2014-11;;3.2;;376.00;
G07088;2014-11-28;2014-11;;3.2;;400.00;
G07088;2014-11-28;2014-11;;3.2;;1050.00;
G07088;2014-11-28;2014-11;;3.2;;450.00;
G07078;2014-11-20;2014-11;;2.3;;1200.00;
G07105;2014-11-14;2014-11;;2.1;;5000.00;
G07105;2014-11-07;2014-11;;2.3;;3000.00;
G07105;2014-11-07;2014-11;;2.3;;2000.00;
G07103;2014-11-25;2014-11;;2.1;;2000.00;
G07100;2014-11-04;2014-11;;2.3;;2150.00;
G07100;2014-11-04;2014-11;;2.3;;2150.00;
G07100;2014-11-05;2014-11;;3.2;;700.00;
G07100;2014-11-07;2014-11;;3.2;;700.00;
G07100;2014-11-07;2014-11;;3.2;;900.00;
G07100;2014-11-21;2014-11;;5.1;;4500.00;
G07083;2014-11-19;2014-11;;2.1;;1500.00;
G07083;2014-11-19;2014-11;;2.1;;1200.00;
G07083;2014-11-19;2014-11;;2.1;;1200.00;
G07083;2014-11-07;2014-11;;2.3;;1500.00;
G07083;2014-11-07;2014-11;;2.3;;1000.00;
G07083;2014-11-21;2014-11;;2.3;;1200.00;
G07083;2014-11-19;2014-11;;2.3;;1000.00;
G07083;2014-11-21;2014-11;;2.3;;1000.00;
G07083;2014-11-21;2014-11;;2.3;;1000.00;
G07083;2014-11-19;2014-11;;2.3;;800.00;
G07083;2014-11-19;2014-11;;2.3;;800.00;
G07083;2014-11-19;2014-11;;2.3;;850.00;
G07083;2014-11-19;2014-11;;2.3;;1350.00;
G07083;2014-11-19;2014-11;;3.2;;300.00;
G07083;2014-11-04;2014-11;;3.2;;700.00;
G07115;2014-11-03;2014-11;;2.2;;960.00;
G07115;2014-11-03;2014-11;;2.2;;960.00;
G07115;2014-11-03;2014-11;;2.2;;960.00;
G07115;2014-11-11;2014-11;;2.3;;960.00;
G07115;2014-11-10;2014-11;;2.3;;1500.00;
G07108;2014-11-13;2014-11;;2.1;;2000.00;
G07108;2014-11-14;2014-11;;2.1;;2000.00;
G07108;2014-11-01;2014-11;;2.3;;1200.00;
G07108;2014-11-01;2014-11;;2.3;;1200.00;
G07108;2014-11-01;2014-11;;2.3;;1200.00;
G07108;2014-11-01;2014-11;;2.3;;1200.00;
G07108;2014-11-01;2014-11;;2.3;;1200.00;
G07108;2014-11-01;2014-11;;2.3;;1200.00;
G07108;2014-11-01;2014-11;;2.3;;2640.00;
G07108;2014-11-01;2014-11;;2.3;;1200.00;
G07108;2014-11-01;2014-11;;2.3;;2640.00;
G07108;2014-11-01;2014-11;;2.3;;1200.00;
G07108;2014-11-01;2014-11;;2.3;;3000.00;
G07108;2014-11-01;2014-11;;2.3;;1200.00;
G07108;2014-11-10;2014-11;;2.3;;320.00;
G07108;2014-11-17;2014-11;;2.3;;1040.00;
G07108;2014-11-17;2014-11;;3.2;;540.00;
G07108;2014-11-21;2014-11;;3.2;;1200.00;
G07108;2014-11-07;2014-11;;5.2;;1400.00;
G07108;2014-11-19;2014-11;;5.2;;1400.00;
G07113;2014-11-04;2014-11;;2.1;;300.00;
G07113;2014-11-04;2014-11;;2.3;;1500.00;
G07113;2014-11-04;2014-11;;2.3;;1500.00;
G07113;2014-11-05;2014-11;;2.3;;1500.00;
G07113;2014-11-05;2014-11;;2.3;;1500.00;
G07113;2014-11-13;2014-11;;3.2;;3240.00;
G07113;2014-11-30;2014-11;;3.2;;2000.00;
G07113;2014-11-25;2014-11;;3.2;;3940.00;
G07112;2014-11-04;2014-11;;2.1;;1200.00;
G07112;2014-11-04;2014-11;;2.1;;1400.00;
G07112;2014-11-06;2014-11;;2.1;;700.00;
G07112;2014-11-06;2014-11;;2.1;;500.00;
G07112;2014-11-06;2014-11;;2.1;;800.00;
G07112;2014-11-06;2014-11;;2.1;;3000.00;
G07112;2014-11-19;2014-11;;2.1;;800.00;
G07112;2014-11-19;2014-11;;2.1;;530.00;
G07112;2014-11-05;2014-11;;2.1;;5149.00;
G07112;2014-11-06;2014-11;;2.1;;4000.00;
